log2(BLOCKSIZE),BLOCKSIZE (Bytes),L1_SIZE (Bytes),L1_miss_rate
4,16,1024,0.1473
5,32,1024,0.1427
6,64,1024,0.1584
7,128,1024,0.2036
4,16,2048,0.1062
5,32,2048,0.0962
6,64,2048,0.1033
7,128,2048,0.1334
4,16,4096,0.0755
5,32,4096,0.0599
6,64,4096,0.0619
7,128,4096,0.0830
4,16,8192,0.0595
5,32,8192,0.0425
6,64,8192,0.0386
7,128,8192,0.0483
4,16,16384,0.0482
5,32,16384,0.0283
6,64,16384,0.0204
7,128,16384,0.0198
4,16,32768,0.0475
5,32,32768,0.0264
6,64,32768,0.0156
7,128,32768,0.0111
